,Identifiant,Url,Titre,Latitude,Longitude,Resume,Capacite_accueil,NombreSdB,NbChambres,NbLits,Type_logement,type_propriete,type_lit,Animal_sur_place,Cuisine,Internet,television,produits_base,Shampooing,Chauffage,Climatisation,machine_laver,seche_linge,parking_sur-place,wifi,television_cable,petit_dejeuner,animaux_acceptes,pourEnfants_famille,adapte_evenements,logement_fumeur,accessibilite,Ascenseur,cheminee_interieur,Interphone,Portier,Piscine,Jacuzzi,salle_sport,Entree_24-24,Cintres,fer_repasser,seche_cheveux,espace_travail_ordi,detecteur_fumee,monoxyde_carbone_detect,kit_secours,fiche_securite,extincteur,porte_chambre_verrou,rection_semaine,reduction_mois,surcout_voyageur_supp,frais_menage,Caution,conditions_annulation,Description,reglement_interieur,duree_minimale_sejour
3223,12464422,https://www.airbnb.fr/rooms/12464422,Atypique près du triangle d'or,44.8425824929,-0.5804659594,"Une maison avec étage entièrement rénovée, atypique, en plein centre de bordeaux vous permettra de visiter la ville avec facilité.Proche des commerces, des transports, des restaurants et des salles de spectacles.",3,1,1,0,Logement entier,Appartement,,,1,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,12,8,20,300,Flexibles,"Une maison avec étage entièrement rénovée, atypique, en plein centre de bordeaux vous permettra de visiter la ville avec facilité.Proche des commerces, des transports, des restaurants et des salles de spectacles.

JEAN CLAUDE DE BORDEAUX",,3
2179,9010306,https://www.airbnb.fr/rooms/9010306,Studio au centre de Bordeaux,44.8250848145,-0.5770549127,"Logement agréable, avec petit jardin, parfait pour un séjour en couple ou pour visiter la ville. Une petite cuisine est à disposition des locataires.",2,1,0,0,Logement entier,Appartement,,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,Flexibles,"Logement agréable, avec petit jardin, parfait pour un séjour en couple ou pour visiter la ville. Une petite cuisine est à disposition des locataires.",,1
1996,8171130,https://www.airbnb.fr/rooms/8171130,Studio parc Rivière,44.8613719798,-0.5864044017,"Mon appartement se situe entre le Parc Rivière et la place Ravezies. Vous pourrez déposer votre voiture dans le parking sécurisé et partir en vélo ou en bus vers le centre ville. Il se compose d'une grande pièce à vivre avec un couchage 2 personnes, donnant sur un balcon, cuisine, salle d'eau et wc séparés.

Salon avec couchage 2 personnes (sofa), cuisine, salle de bains, wc, parking

Ligne 9",2,1,0,0,Logement entier,Appartement,Vrai lit,,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,,"Accès des voyageurs

Salon avec couchage 2 personnes (sofa), cuisine, salle de bains, wc, parking

Transports

Ligne 9","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

Ne convient pas aux enfants (0-12 ans)

L'entrée dans les lieux se fait après 20:00

",1
214,1384593,https://www.airbnb.fr/rooms/1384593,T3 90 m² Triangle d'Or bourgeois,44.8436260699,-0.5778450405,"Charmant appartement dans immeuble 1880 situé au cœur de Bordeaux dans le fameux triangle d'or. A 200 m du Grand Théâtre et de toutes les attractions touristiques du centre ville. Tout est à moins de 3 mn de marche. Emplacement de premier choix !

Au 3ème étage d'un immeuble 1900 appartement de 90m2 avec cachet, parquet et plafond à 3,8 m, une cheminée. Ce charmant appartement est situé dans le Quartier Chic et hyper central du Triangle d'Or , à 100 m des Allées de Tourny et du Grand Théâtre. Tout types de commerces à moins de 50m. Sa situation vous permet également de vous balader dans tout le centre historique de Bordeaux à pieds ou en vélo (station VCUB à 50 m, idem pour le tram et le Bus), pour découvrir les principaux monuments historiques.  Vous pourrez découvrir tout le centre ville de Bordeaux en quelques minutes à pied , ainsi que les très nombreux petits  restaurants typiques  et les autres quartiers de Bordeaux.Facile d'accès, vous pouvez prendre tous les transports en communs (tous les  bus et tramways place Gambetta ou place des Quinconces).Très charmant l'appartement est décoré avec goût dans un style mixant design, classicisme et antiquités. Bel espace de vie dans le salon de 35m2 avec une connexion WIFI, une TV câblée Flat Screen HD 50\",2,1,1,0,Chambre privée,Appartement,Vrai lit,,1,1,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,6,0,0,30,300,Strictes,"Le logement

Charmant appartement dans immeuble 1880 situé au cœur de Bordeaux dans le fameux triangle d'or. A 200 m du Grand Théâtre et de toutes les attractions touristiques du centre ville. Tout est à moins de 3 mn de marche. Emplacement de premier choix !

Au 3ème étage d'un immeuble 1900 appartement de 90m2 avec cachet, parquet et plafond à 3,8 m, une cheminée. Ce charmant appartement est situé dans le Quartier Chic et hyper central du Triangle d'Or , à 100 m des Allées de Tourny et du Grand Théâtre. Tout types de commerces à moins de 50m. Sa situation vous permet également de vous balader dans tout le centre historique de Bordeaux à pieds ou en vélo (station VCUB à 50 m, idem pour le tram et le Bus), pour découvrir les principaux monuments historiques.  Vous pourrez découvrir tout le centre ville de Bordeaux en quelques minutes à pied , ainsi que les très nombreux petits  restaurants typiques  et les autres quartiers de Bordeaux.Facile d'accès, vous pouvez prendre tous les transports en communs (tous les  bus et tramways place Gambetta ou place des Quinconces).Très charmant l'appartement est décoré avec goût dans un style mixant design, classicisme et antiquités. Bel espace de vie dans le salon de 35m2 avec une connexion WIFI, une TV câblée Flat Screen HD 50"", une chaine HI FI Bluetooth et un ordinateur avec connexion internet.A côté, une cuisine simple mais correcte est équipée avec réfrigérateur, congélateur , four, grille-pain, blender et plaques électriques. Pour la partie nuit, 2 chambres simples et spacieuses avec lit 2 places.  Draps et serviettes compris. La salle de bain simple et correcte est équipée d'une baignoire avec rideau de douche. Dans l’entrée une vaste penderie est disponible. Toilettes séparés. Que vous séjourniez à Bordeaux pour les vacances, professionnellement ou pour une escapade en amoureux, je ferai tout pour rendre votre séjour chaleureux.

Accès à tout : best central location

je suis open !

Le quartier des Grands Hommes , appelé le triangle d'Or est le quartier le plus sympathique de Bordeaux. En plein coeur de centre historique , c'est un quartier essentiellement piéton, où se concentrent toutes les boutiques et tous les lieux touristiques de Bordeaux. C'est clairement le quartier le plus attractif de bordeaux. Tout y est accessible en quelques minutes de marche!

voiture, bus, tram, pieds, velo.





Mon appartement est spacieux et agréablement décoré, il est surtout au meilleur emplacement de Bordeaux, tout est à 3 mn de marche dans une grande zone piétonnière ! Néanmoins des vélos publics sont disponibles ainsi que le tram et le bus à 30 sec de marche. ,)

j'aime recevoir des voyageurs et des gens ouverts sur le monde !",,2
381,2544549,https://www.airbnb.fr/rooms/2544549,Appartement avec jardin,44.8621606846,-0.5619489224,"Notre appartement se situe sur les quais de Bordeaux et à 4 stations de tram du centre ville (tram à 200 m). Le salon et la cuisine donnent sur un jardin ensoleillé. La chambre est spacieuse.  Vous pourrez profiter des commerces et des restaurants.

L'appartement fait 42 m2 et se situe tout près des quais de la Garonne avec ses bars, restaurants et commerces (Carrefour City ouvert jusqu'à 22h). L'appartement est très agréable avec son jardin et la possibilité de faire des barbecues.
Dans la chambre, il y a 2 lits simples que l'on peut rapprocher pour faire un grand lit double. Dans la pièce de vie, il y a canapé-lit (120 cm de large).

Le tram (arrêt Les Hangars, ligne B) se situe à 200 m, le centre ville est accessible à pied en 15 min ou en tram en 10 min.
Il est en principe facile de se garer dans la rue gratuitement.

Nous sommes en général très réactifs et serons là pour vous accueillir et répondre à vos questions.

Le quartier est très sympa avec une multitude de restaurants er de bars dont certains avec vue magnifique sur la Garonne et le nouveau pont Chaban Delmas. Le futur Musée du Vin est à 5 min à pied. l'IBoat est à 10 min à pied.

Le tram B (direct du centre ville) arrêt les Hangars est à 200 m de l'appartement

La peinture n'est pas encore terminée par endroit (juste sous-couche blanche) et nous en sommes désolés",3,1,1,0,Logement entier,Appartement,,Chat(s),1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,15,20,20,0,350,Modérées,"Le logement

L'appartement fait 42 m2 et se situe tout près des quais de la Garonne avec ses bars, restaurants et commerces (Carrefour City ouvert jusqu'à 22h). L'appartement est très agréable avec son jardin et la possibilité de faire des barbecues.

Dans la chambre, il y a 2 lits simples que l'on peut rapprocher pour faire un grand lit double. Dans la pièce de vie, il y a canapé-lit (120 cm de large).

Accès des voyageurs

Le tram (arrêt Les Hangars, ligne B) se situe à 200 m, le centre ville est accessible à pied en 15 min ou en tram en 10 min.

Il est en principe facile de se garer dans la rue gratuitement.

Échanges avec les voyageurs

Nous sommes en général très réactifs et serons là pour vous accueillir et répondre à vos questions.

Le quartier

Le quartier est très sympa avec une multitude de restaurants er de bars dont certains avec vue magnifique sur la Garonne et le nouveau pont Chaban Delmas. Le futur Musée du Vin est à 5 min à pied. l'IBoat est à 10 min à pied.

Transports

Le tram B (direct du centre ville) arrêt les Hangars est à 200 m de l'appartement

Autres remarques

La peinture n'est pas encore terminée par endroit (juste sous-couche blanche) et nous en sommes désolés

I'm an associate professor in marketing. Travel, trip, far away from home...that's what I like! 



J'adore les voyages puisque je suis sur AirBnB!

Accessoirement enseignant-chercheur en marketing. Toulousaine de coeur mais Bordelaise pour raison professionnelle... comme quoi le cassoulet et le vin ne vont pas si mal ensemble!","Il est strictement interdit de fumer à l'intérieur, cela  ne pose aucun problème dans le jardin.",3
4530,13737267,https://www.airbnb.fr/rooms/13737267,Appartement calme à 10 min de la gare,44.8216775398,-0.5681864566,"Bonjour,
je propose en location mon logement, un appartement en rez-de-chaussée de 45m², à 10 min à pieds de la gare. Le quartier est calme et agréable.
Idéal pour les couples, les voyageurs d'affaires et les familles (avec enfants), il contient un lit 2 places ainsi qu'un canapé-lit de 2 place également, les équipements ménagers de base ainsi qu'une machine à laver le linge.
Il y a également une cour intérieure commune à l'immeuble dans laquelle vous pourrez manger ou vous reposer au soleil.",4,1,1,0,Logement entier,Appartement,,,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,200,Flexibles,"Bonjour,

je propose en location mon logement, un appartement en rez-de-chaussée de 45m², à 10 min à pieds de la gare. Le quartier est calme et agréable.

Idéal pour les couples, les voyageurs d'affaires et les familles (avec enfants), il contient un lit 2 places ainsi qu'un canapé-lit de 2 place également, les équipements ménagers de base ainsi qu'une machine à laver le linge.

Il y a également une cour intérieure commune à l'immeuble dans laquelle vous pourrez manger ou vous reposer au soleil.","Non fumeur

Pas de fête ni de soirée

Ne convient pas aux bébés (0-2 ans)

",1
4807,14083142,https://www.airbnb.fr/rooms/14083142,Appartement de caractère en Duplex à St Seurin,44.8444857221,-0.589557323,"Appartement en Duplex fraichement rénové dans un style alliant moderne et ancien, Quartier St Seurin, proche commodités, bars, restaurants, musées, parcs, centre ville à 10mn à pied max. Grand séjour avec cuisine US et Bar convivial. RDC= 1 chambre double, sdb, wc séparé. A l'étage sous comble, bureau, chambre double avec climatisation. Escalier sécurisé, idéal famille avec jeunes enfants. Stationnement facile dans rue. idéal pour découverte à pied centre ville historique de Bdx ou accès médoc.",4,1,2,0,Logement entier,Appartement,,,1,0,1,1,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,0,0,10,25,0,40,1000,Flexibles,"Appartement en Duplex fraichement rénové dans un style alliant moderne et ancien, Quartier St Seurin, proche commodités, bars, restaurants, musées, parcs, centre ville à 10mn à pied max. Grand séjour avec cuisine US et Bar convivial. RDC= 1 chambre double, sdb, wc séparé. A l'étage sous comble, bureau, chambre double avec climatisation. Escalier sécurisé, idéal famille avec jeunes enfants. Stationnement facile dans rue. idéal pour découverte à pied centre ville historique de Bdx ou accès médoc.

French couple of 35 years old","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

L'heure d'entrée dans les lieux est 15:00 - 20:00.

- arrêt de Tram et bus à proximité 

- Draps fournis seulement pour séjour de 5 nuits minimum

- Carafe et verres à vins disponibles pour les amateurs

- internet et WIFI Gratuit disponible dans l'appartement

- Frais de ménage si nécessaire 40 euros",2
882,4805962,https://www.airbnb.fr/rooms/4805962,Chambre indépendante,44.8418008947,-0.614448573,"Chambre indépendante donnant sur un balcon qui donne sur un parc.
Très calme.
La salle de bain et les toilettes séparées seront partagées.
La cuisine est à votre disposition ainsi que le salon avec t
WIFI disponible.élévision

Calme

Proximité des commerces place mondésir

Bus 1 qui va dans le centre place des quinconces et à l'aéroport directement.
Bus 16 qui va à la gare saint jean et place Gambetta.",1,1,1,0,Chambre privée,Appartement,Vrai lit,,1,1,1,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Le logement

Calme

Le quartier

Proximité des commerces place mondésir

Transports

Bus 1 qui va dans le centre place des quinconces et à l'aéroport directement.

Bus 16 qui va à la gare saint jean et place Gambetta.

Ma famille et moi même (nous avons 4 enfants), nous aimons beaucoup le bateau et la mer, cette villa nous permet d'en profiter le Week end et pendant les vacances.

De même, nous aimons voyager (asie, us, europe...), nous aimons à la fois bouger, voyager et retrouver la quiétude de notre maison, le calme, le repos, les ballades à vélo, la baignade aux beaux jours, la voile l'océan (surf, Kite etc..). Nous recevons beaucoup les copains pour partager un bon repas et voulons que ceux qui viennent se retrouve chez nous comme chez.",,1
949,5177010,https://www.airbnb.fr/rooms/5177010,Joli T2 - coeur centre historique,44.840447107,-0.5731096062,"Agréable T2 refait en décembre 2014 avec beaucoup de goût. Situé dans un immeuble en pierre, très bien placé, il est au coeur du centre historique.
Vous trouverez tout à proximité : les musées, l'architecture, de bons restaurants,  des magasins.

Agréable T2 refait en décembre 2014 avec beaucoup de goût.
Quelques touches de mobiliers vintage et de modernité.

Accès à internet en wifi gratuit.
Interdiction de fumer.
Nous n'acceptons pas les animaux de compagnie.

Tout au long de votre séjour nous restons à votre écoute si un problème survenait.

L'appartement est facile d'accès en tramway avec deux arrêts à moins de 200 mètres de l'appartement (lignes A et C). 
La gare n'est qu'à 10 minutes de l'appartement en tramway. 
Depuis l'aéroport, il existe un service de navettes payantes vous permettant d'être déposé non loin de l'appartement. 
En voiture, vous pourrez stationner au parking public payant de la place de la Bourse, de la Place Camille Jullian ou du Cour Victor Hugo (à moins de 5 minutes à pied de l'appartement). 
Il vous sera possible de louer des vélos à une station VCUB à moins de 100 mètres de l'appartement.

Situé au cœur du quartier historique, vous aurez tout à proximité : shopping, restaurant, musées, miroir d'eau, Grand théâtre, ... Venez admirez les belles façades bordelaises.

Station Vcub très proche (Rue du Pas Saint Georges)
Proche tram ligne : A, B et C
Bus électrique au bout de la rue.",4,1,1,1,Logement entier,Appartement,Vrai lit,,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,30,60,10,25,300,Strictes,"Le logement

Agréable T2 refait en décembre 2014 avec beaucoup de goût.

Quelques touches de mobiliers vintage et de modernité.

Accès à internet en wifi gratuit.

Interdiction de fumer.

Nous n'acceptons pas les animaux de compagnie.

Tout au long de votre séjour nous restons à votre écoute si un problème survenait.

Accès des voyageurs

L'appartement est facile d'accès en tramway avec deux arrêts à moins de 200 mètres de l'appartement (lignes A et C). 

La gare n'est qu'à 10 minutes de l'appartement en tramway. 

Depuis l'aéroport, il existe un service de navettes payantes vous permettant d'être déposé non loin de l'appartement. 

En voiture, vous pourrez stationner au parking public payant de la place de la Bourse, de la Place Camille Jullian ou du Cour Victor Hugo (à moins de 5 minutes à pied de l'appartement). 

Il vous sera possible de louer des vélos à une station VCUB à moins de 100 mètres de l'appartement.

Le quartier

Situé au cœur du quartier historique, vous aurez tout à proximité : shopping, restaurant, musées, miroir d'eau, Grand théâtre, ... Venez admirez les belles façades bordelaises.

Transports

Station Vcub très proche (Rue du Pas Saint Georges)

Proche tram ligne : A, B et C

Bus électrique au bout de la rue.

Je propose un lieu de séjour correspondant à ce que moi même j'aimerais trouver dans une location de vacances : un lieu de séjour accueillant, propre, bien placé. Je propose toute la base traditionnelle du séjour. Venez léger et profitez ...","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

",2
5060,14660578,https://www.airbnb.fr/rooms/14660578,Cosy appartement aux Chartrons,44.8555521388,-0.5728258396,"Charmant appartement typiquement Bordelais refait à neuf en plein centre du quartier des Chartrons de Bordeaux (place du marché des Chartrons) et de toutes commodités (tram Chartrons et Camille Godard). Prestations anciennes, cheminées, parquet, hauts plafonds. Canapé convertible si besoin pour une personne ou un enfant.

Logement entier

Je suis joignable à tout moment par téléphone et je pourrais me déplacer si besoin.

Proche TRAM B (Arrêt Chartrons) et TRAM C (Arrêt Camille Godard et Place Paul Doumer).",2,1,1,0,Logement entier,Appartement,Vrai lit,,1,1,1,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,10,0,500,,"Accès des voyageurs

Logement entier

Échanges avec les voyageurs

Je suis joignable à tout moment par téléphone et je pourrais me déplacer si besoin.

Transports

Proche TRAM B (Arrêt Chartrons) et TRAM C (Arrêt Camille Godard et Place Paul Doumer).","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

- Etre soigneux et respectueux du logement fourni car ce dernier est neuf",1
3660,13075909,https://www.airbnb.fr/rooms/13075909,On se sent bien ici !,44.8391358375,-0.5979725841,"Maison  agréable, ambiance pierre et bois très chaleureuse, on se sent bien ici ! Quartier calme et paisible.
Quartier Centre Ville de Bordeaux
Tram et Vélo Vcub à 5mn
Place Gambetta à 10mn
BUS pour le stade à 5mn
Dune du Pyla à 1h",6,1,3,0,Logement entier,Maison de ville,,Chat(s),1,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,12,0,50,50,0,Flexibles,"Maison  agréable, ambiance pierre et bois très chaleureuse, on se sent bien ici ! Quartier calme et paisible.

Quartier Centre Ville de Bordeaux

Tram et Vélo Vcub à 5mn

Place Gambetta à 10mn

BUS pour le stade à 5mn

Dune du Pyla à 1h","Ne convient pas aux animaux

Pas de fête ni de soirée

Chaussures déconseillées à l'étage

Possibilité de fumer en terrasse

Tri sélectif à prévoir

Donner à manger à la chatte si besoin

Arroser les fleurs si besoin",1
2402,9973268,https://www.airbnb.fr/rooms/9973268,Charmant T3 Centre HISTORIQUE,44.8423554342,-0.5733320358,"Joli appartement au calme , en plein cœur de l'hypercentre,dans une rue très animée.
La  Place de la Bourse et la très commerçante rue Ste Catherine se trouvent à moins de 2 mn.
Un 4 ème couchage d'appoint (canapé convertible ) disponible.

Vous aurez accès à l'intégralité du logement.

Je serai disponible pour répondre à vos interrogations avant et pendant votre séjour. C'est avec plaisir que je vous aiderai à préparer votre voyage, et vous conseillerai mes meilleures adresses!

Un quartier très vivant  :  nombreux restaurants , rue commerçante et piétonne : la fameuse rue Sainte Catherine, le grand théâtre, le miroir d'eau, les quais ou il fait bon se balader feront les bonheur des hôtes.

Les 3 lignes de tram (A,B,C) sont situées à moins de 5 mn.
Un parking public est disponible au bout de la rue.

L'appartement est situé au deuxième étage sans ascenseur.",3,1,2,0,Logement entier,Appartement,,,1,1,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,15,500,Modérées,"Accès des voyageurs

Vous aurez accès à l'intégralité du logement.

Échanges avec les voyageurs

Je serai disponible pour répondre à vos interrogations avant et pendant votre séjour. C'est avec plaisir que je vous aiderai à préparer votre voyage, et vous conseillerai mes meilleures adresses!

Le quartier

Un quartier très vivant  :  nombreux restaurants , rue commerçante et piétonne : la fameuse rue Sainte Catherine, le grand théâtre, le miroir d'eau, les quais ou il fait bon se balader feront les bonheur des hôtes.

Transports

Les 3 lignes de tram (A,B,C) sont situées à moins de 5 mn.

Un parking public est disponible au bout de la rue.

Autres remarques

L'appartement est situé au deuxième étage sans ascenseur.

Originaire de Bordeaux, j'aime donc le bon vin, cuisiner, échanger, partager, voyager, lire, sortir, mes amis, mon chéri, mon petit garçon ... et bien d'autres choses permettant de  profiter de la vie !","L'entrée dans les lieux se fait après 16:00

La confiance avant tout !",2
1992,8157627,https://www.airbnb.fr/rooms/8157627,Charming Apt in the Center/Terrace,44.8427984165,-0.5761694196,"Appartement de charme récemment rénové vous pourrez profiter d'un espace cuisine salon salle à manger ouvert et spacieux.

Une terrasse avec vue sur la Cathédrale St André et les toits de BDX.

 chambres doubles : l'une spacieuse avec lit 1.60x2.00m, cheminée et coin lecture, l'autre petite possèdant des  privatives, un CANAPE LIT 1.32x1.90m pour petits gabarits

Nous vous demanderons d'être tout particulièrement soigneux

Appartement de charme avec espaces cuisine, salon et salle à manger agréables  

vue sur la cathédrale Saint André depuis la terrasse /\",4,1,2,0,Logement entier,Appartement,,,1,1,0,1,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,55,1500,,"Le logement

Appartement de charme avec espaces cuisine, salon et salle à manger agréables  

vue sur la cathédrale Saint André depuis la terrasse /""rooftop"".

Charming and spacious apartment with beautiful terrace and nice view.

Accès des voyageurs

Accès depuis la gare de bordeaux par tram C

Accès depuis l'aéroport en bus avec la liane 1 

Accès en voiture vous avez deux parking privés souterrains payants

From the train station : tram C

From the airport : bus liane 1

with your car: you have access to two private underground pay car park near the apartment

Échanges avec les voyageurs

Nous nous ferons un plaisir de vous renseigner sur Bordeaux et son département la Gironde.

It will a pleasure to give you informations about Bordeaux and the places around.

Le quartier

L'appartement est situé en plein centre de Bordeaux lieu statégique qui vous permettra de mieux visiter cette ville.

Proximité de nombreux commerces, terrasses, restaurants, bars, et du Jardin Public.

Ideally located, you are two minutes from le marché des Grands Hommes that sells fresh produce.

There is lots of restaurants and trendy bars.

Transports

Proximité immédiate du réseau de tram et de bus.

Trois parkings privés payants et souterrains se situent à moins de 5 minutes à pied

Accès en bas de l'appartement nécessite un pass après 11h du matin.

Autres remarques

L'appartement se situe au 3ème étage SANS ascenseur

Il n'y q'une seule SDB  

There is no elevator, we are on the third floor

There is only 1 bathroom","Non fumeur

Ne convient pas aux animaux

Pas de fête ni de soirée

Ne convient pas aux enfants (2-12 ans)

Voici les règles que je vous demanderais de bien vouloir respecter lors de votre séjour :

ne pas fumer à l'intérieur de l'appartement, vous pourrez fumer sur la terrasse

ne pas déplacer les meubles

ne pas marcher en talons sur le parquet 

les murs blancs tout fraichement repeints se salissent facilement ainsi je vous demanderais de faire attention avec vos valises et sacs

les animaux ne sont pas acceptés 

les non-locataires ne sont pas acceptés

Pour votre arrivée: 

lorsque je ne suis pas disponible

une personne se chargera des entrées et sorties voici les horaires et tarifs demandés: à payer en espèces sur place:

ENTREE entre 9H-19H : 0€

20€ entre 19-21H

30€ entre 21-23H

50€ après 23H

SORTIE : 

impossible avant 9H

de 9H à 11H. 



Désormais  un chèque de caution de 300€ sera à nous remettre à votre arrivée 

A votre départ le chèque sera rendu,

si je ne suis pas présente ce sera sous réserve de la personne qui s'occupera de votre sortie. Une photo du chèque déchiré vous sera alors envoyée. 

n'hésitez pas à me contacter pour des informations supplémentaires.

Rules of the apartment 

no smoking inside

do not move the furniture

do not walk with heels on the floor

please pay attention to the WHITE walls

animals are not accepted

guests are not accepted

For your arrival:

when I am not available 

a person will handle inputs and outputs Here are the schedules and rates required: to pay cash on the spot :

ENTRY between 9H- 19H : 0 €

€ 20 between 19-21H

€ 30 between 21-23H

€ 50 after 23H

EXIT :

impossible before 9H

from 9am to 11am .

do not hesitate to contact me for further information

Henceforth, a cash or a check deposit (300€) is required for your arrival, it will be restituted after your stay.",1
